name,foods,price,img_url
1元安心大油条,产品实付满49元（不含外送费），可1元换购安心大油条1根，每单限1份,1.0,https://img.4008823823.com.cn/kfcios/Version/762_992035.jpg
1元芝士鸡肉帕尼尼,产品实付满69元（不含外送费），可1元换购芝士鸡肉帕尼尼1份，每单限1份,1.0,https://img.4008823823.com.cn/kfcios/Version/762_995358.jpg
有鸡腿全餐双人餐,套餐包含：有鸡腿中式/西式全餐（可选），共2份。<br>有鸡腿中式全餐：新奥尔良烤鸡腿1份+皮蛋瘦肉粥1份+培根炒蛋1份+安心大油条1根+早餐饮品1杯（可加价换购）<br>有鸡腿西式全餐：新奥尔良烤鸡腿1份+现烤法式可颂2只/大溪地香草奶香流心可颂2只+培根炒蛋1根+香脆薯饼1个+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,0.0,https://img.4008823823.com.cn/kfcios/Version/764_1009029.jpg
有鸡腿西式全餐(香草流心可颂),"新奥尔良烤鸡腿1块+培根炒蛋1份+香脆薯饼1块+大溪地香草奶香流心可颂2只+咖啡饮品1杯（可加价换购）
<br>产品及包装以实物为准。",29.0,https://img.4008823823.com.cn/kfcios/Version/764_1009041.jpg
有鸡腿西式全餐(香草流心可颂),"新奥尔良烤鸡腿1块+太阳蛋+香脆薯饼1块+大溪地香草奶香流心可颂2只+咖啡饮品1杯（可加价换购）
<br>产品及包装以实物为准。",29.0,https://img.4008823823.com.cn/kfcios/Version/764_1009042.jpg
芝士猪柳蛋帕尼尼香草流心可颂餐,"芝士猪柳蛋帕尼尼1份+大溪地香草奶香流心可颂1只+早餐饮品1杯
<br>产品及包装以实物为准。",24.0,https://img.4008823823.com.cn/kfcios/Version/764_1009046.jpg
芝士鸡肉帕尼尼香草流心可颂餐,"芝士鸡肉帕尼尼1份+大溪地香草奶香流心可颂1只+早餐饮品1杯
<br>产品及包装以实物为准。",17.0,https://img.4008823823.com.cn/kfcios/Version/764_1009045.jpg
双层香烤鸡排帕尼尼+配餐+饮品随心换,双层香烤鸡排帕尼尼1份+配餐1份+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,13.5,https://img.4008823823.com.cn/kfcios/Version/764_997905.jpg
芝士猪柳蛋帕尼尼+配餐+饮品随心换,芝士猪柳蛋帕尼尼1份+配餐1份+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,13.5,https://img.4008823823.com.cn/kfcios/Version/764_997907.jpg
大饼卷鸡扒蛋+茶叶蛋+饮品随心换,"大饼卷鸡扒蛋1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",20.5,https://img.4008823823.com.cn/kfcios/Version/744_951340.jpg
金沙咸蛋黄肉酥饭团+茶叶蛋+饮品随心换,"金沙咸蛋黄肉酥饭团1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",18.5,https://img.4008823823.com.cn/kfcios/Version/762_991625.jpg
皮蛋瘦肉粥+茶叶蛋+饮品随心换,"皮蛋瘦肉粥1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",12.5,https://img.4008823823.com.cn/kfcios/Version/753_963581.jpg
九龙金玉茶叶蛋4只装,"九龙金玉茶叶蛋4只装
产品及包装以实物为准",16.0,https://img.4008823823.com.cn/kfcios/Version/762_995425.jpg
有鸡腿全餐双人餐,套餐包含：有鸡腿中式/西式全餐（可选），共2份。<br>有鸡腿中式全餐：新奥尔良烤鸡腿1份+皮蛋瘦肉粥1份+培根炒蛋1份+安心大油条1根+早餐饮品1杯（可加价换购）<br>有鸡腿西式全餐：新奥尔良烤鸡腿1份+现烤法式可颂2只/大溪地香草奶香流心可颂2只+培根炒蛋1根+香脆薯饼1个+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,0.0,https://img.4008823823.com.cn/kfcios/Version/764_1009029.jpg
有鸡腿西式全餐(香草流心可颂),"新奥尔良烤鸡腿1块+培根炒蛋1份+香脆薯饼1块+大溪地香草奶香流心可颂2只+咖啡饮品1杯（可加价换购）
<br>产品及包装以实物为准。",29.0,https://img.4008823823.com.cn/kfcios/Version/764_1009041.jpg
有鸡腿西式全餐(香草流心可颂),"新奥尔良烤鸡腿1块+太阳蛋+香脆薯饼1块+大溪地香草奶香流心可颂2只+咖啡饮品1杯（可加价换购）
<br>产品及包装以实物为准。",29.0,https://img.4008823823.com.cn/kfcios/Version/764_1009042.jpg
